"Country","Year","Access.to.electricity....of.population.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net..BoP..current.US..","Foreign.direct.investment..net.inflows....of.GDP.","Foreign.direct.investment..net.outflows....of.GDP.","Foreign.direct.investment..net.outflows..BoP..current.US..","Forest.area....of.land.area.","Forest.area..sq..km.","GDP..current.US..","GDP.per.capita..current.US..","GDP..PPP..current.international...","High.technology.exports..current.US..","Households.and.NPISHs.Final.consumption.expenditure..PPP..current.international...","Immunization..DPT....of.children.ages.12.23.months.","Immunization..measles....of.children.ages.12.23.months.","Immunization..HepB3....of.one.year.old.children.","Individuals.using.the.Internet....of.population.","Inflation..consumer.prices..annual...","Life.expectancy.at.birth..total..years.","Mortality.rate..infant..per.1.000.live.births.","Military.expenditure....of.GDP.","Military.expenditure..current.USD.","Net.migration","People.using.at.least.basic.sanitation.services....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","Proportion.of.seats.held.by.women.in.national.parliaments....","Total.greenhouse.gas.emissions.excluding.LULUCF.per.capita..t.CO2e.capita.","Tuberculosis.treatment.success.rate....of.new.cases.","Voice.and.Accountability..Percentile.Rank","Women.Business.and.the.Law.Index.Score..scale.1.100.","Educational.attainment..at.least.completed.upper.secondary..population.25...total......cumulative.","Government.expenditure.on.education..total....of.GDP.","Government.expenditure.on.education..total....of.government.expenditure.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.population....","Unemployment..total....of.total.labor.force...national.estimate.","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Tax.Rate"
"El Salvador",2023,NA,NA,-730286689.463518,1.87595294047264,-0.270962769026462,-92169665.853519,NA,NA,34015620000,5391.06926181338,79861125889.7276,296585304,56465801244.1768,96,99,96,NA,4.04554694222477,NA,NA,1.28386195281933,453700000,-23253,NA,NA,27.3809523809524,2.06847507870517,NA,34.80392075,88.75,33.810001373291,3.17218995094299,NA,NA,2.992,6.482,9.167,0.744,66.3,0.942,-0.104,0.496,0.812,0.318,30
"Estonia",2020,100,7.255,-3434672493.27285,12.0147752855703,1.22096873716714,388521671.865881,57.0385964912281,24384,31820771493.8974,23933.9939421065,54074496993.4123,2169488523,22629743457.129,91,91,90,89.0583,-0.44453109767983,78.5951219512195,1.7,2.29675683425333,718112390.288385,3694,99.0807516942439,99.9999977228497,28.7128712871287,10.9145241673323,75,87.9227066,97.5,85.7600021362305,5.52696990966797,14.2844390869141,7.9,6.956,6.453,10.488,0.958,69.425,0.954,-0.09,0.398,0.762,0.188,20
"Estonia",2021,100,6.368,-1211996049.6899,20.306394906414,17.0487437704105,6342910625.54634,57.0385964912281,24384,37204563051.4723,27953.7670230126,58842574492.6421,2681060611,24608031996.094,90,89,84,90.9797,4.65316673847473,76.9439024390244,1.5,2.0308662213269,748580889.309366,7043,99.0705296069339,99.9999991547783,25.7425742574257,11.4833815702079,84,88.40579987,97.5,85.8408355712891,5.2632098197937,14.251974105835,8.5,6.178,6.554,10.564,0.946,69.65,0.926,0.046,0.441,0.761,0.176,20
"Estonia",2022,100,5.344,-164683262.654944,4.89320122469428,4.46407087107708,1713133898.76797,57.0652937046572,24384,38376046174.971,28451.1477825175,64423118058.1213,2331439433,27683489350.7642,90,89,84,91.5202,19.3982634080616,77.9439024390244,1.5,2.1604426401521,818278963.709643,39754,99.0602205522915,100,25.7425742574257,11.5419916372587,77,87.9227066,97.5,86.4714736938477,NA,NA,9.3,5.571,6.357,10.541,0.933,69.875,0.904,0.136,0.39,0.767,0.187,20
"Estonia",2023,NA,NA,-3145151486.45859,12.9586916615566,5.34169810872472,2205653665.10287,NA,NA,41291245222.1948,30133.304450454,63950271959.3804,2085454295,28756617125.8653,90,89,84,93.1834,9.15922507983982,NA,NA,2.86665387374435,1189493563.12203,5717,NA,NA,28.7128712871287,10.4824832188317,NA,88.72548676,97.5,NA,NA,NA,NA,6.378,6.43,10.517,0.958,70.1,0.915,0.032,0.334,0.765,0.182,20
"Eswatini",2020,80,72.075,-51096626.5318602,0.944713337169084,-0.299798411636502,-12308993.8595897,28.9279069767442,4975.6,4105756862.55271,3442.3216527415,11049499405.0767,3747606,NA,83,76,83,49.013,NA,59.692,43.4,1.8608190625872,76795299.9757105,-4242,64.4891155297878,71.4406737893323,9.58904109589041,2.53754205691318,81,13.04347801,46.25,NA,5.36010456085205,15.8905391693115,59.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eswatini",2021,82.9,70.741,-54321169.0760213,2.38229447630931,1.23571501842889,58544119.1925282,28.9982558139535,4987.7,4737671576.32851,3926.48687364215,11880364539.8064,4198951,NA,77,80,77,56.1988,NA,57.066,40.8,1.78385478033566,83224944.1699939,-4242,64.4554412214633,72.4538444889094,9.58904109589041,2.59839067523183,79,14.00966167,46.25,15.0883312225342,5.28714895248413,15.3408699035645,57.7,34.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eswatini",2022,82.3,69.773,-35061312.4440351,0.284327760848015,-0.462392766975364,-21711064.1407461,29.0686046511628,4999.8,4695372785.0814,3852.08573272946,12718766699.9507,3985543,NA,97,83,97,58.2502,NA,56.36,39.7,1.64512139394137,74301520.5780315,-8549,64.4202338506503,73.4672019213958,13.5135135135135,2.661542992673,83,14.97584534,46.25,35.8065490722656,5.69260597229004,16.6209316253662,55.9,NA,3.502,9.119,0.712,52.5,0.539,-0.149,0.774,0.661,0.394,NA
"Eswatini",2023,NA,NA,-50785644.9265399,0.63320589692197,-0.509874561522026,-22653093.4434669,NA,NA,4442875788.08505,3610.60879677551,13837223496.415,3576837,NA,85,85,85,NA,NA,NA,NA,1.56832126015003,67795175.164853,-8549,NA,NA,17.1428571428571,2.67337176738675,NA,16.66666603,46.25,19.3785934448242,6.31294202804565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia",2020,51.1,73.654,-2395799880.65984,2.22538575066647,NA,NA,15.1239877246579,170685,107657734392.446,905.313175805855,286209793459.086,43204864,209335341931.741,71,59,71,16.0696,20.3563468559061,65.371,36.1,0.521624297220978,504066088.251296,38866,8.95353751323462,48.6553476821695,38.7568555758684,1.42949991006803,86,20.77294731,80,NA,4.09056520462036,22.4477195739746,56.2,NA,4.549,7.72,0.823,60.3,0.769,0.183,0.784,0.615,0.252,30
